"review_date","user_rating","review_title","review"
"9 May 2018","5","""OUTSTANDING FOOD""! ","Everything we tried was just sooo amazing! The mango mean curry was to die for and a must try 😍 the squid homely fry masala dish was also sooo good. The chicken biriyani was good too..We are high on food. 
Amazing food and actually quiet...More"
"29 April 2018","4","Busy restaurant ","It is hard to get seats in this busy restaurant. So we have ordered chicken chilly and squid biriyani as take away.It took 30 min to get our food. The chilly chicken was delicious and we loved it. The squid was bit rubberish so we...More"
"23 April 2018","4","Good over here, Sure gonna hit all
your taste buds.","Amazing place with quality food especially if you are a sea food lover.
Restaurant has 3 section 2 non Ac and 1 ac part.
Food is mouth watering make sure to get guidance from the staff on what to choose as there are many awesome...More"
"20 April 2018","5","Fooding","The paragon biriyani is very famous especially the chicken biriyani. The hotel is very nice ,clean with good food and service."
"17 April 2018","4","Malabar Sea food","Best place to have Kerala Malabar type food, specially seafood's. Loved the taste of spices specially in fish."
"15 April 2018","5","Fresh and Tasty seafood","so far has visited the hotel around 8 times. Tasted their biryani, fish mango curry, wheat parrota, grilled squid, Grilled prawns and fish. Each of these dish tasted fresh and good. Quantity wise, each portion would be suffice for two persons. Quite expensive but worth...More"
"12 April 2018","5","Hotel Paragaon","This is old most famous resturant in kozicode city,It is must visit restaurant with extremly good qualities food preferably keralian and sea foods"
"11 April 2018","5","Superb","My colleague had convinced me to join him for lunch at this restaurant, he promised me I would not regret it. He was not wrong. We came here for lunch shortly after opening time as the queues here are really quite something. The food was...More"
"8 April 2018","4","Incredible Biriyani ","Had visited his place as it was quite famous. The location is below an old flyover and you need to park diagonally opposite on the road. Expect a long wait as there is no token system. You actually need to stand right next to someone...More"
"6 April 2018","5","Delicious Malabar cuisine","Lived up to their name in terms of taste and quality of dishes. Biryani is awesome. So are the other dishes."
"30 March 2018","4","Best sea food","Amazing sea food in Calicut! Very reasonably priced! Good to try shrimps and fish here.Aappam and chicken curry is very yummy here"
"28 March 2018","5","Must go once","Hotel Paragon in Kozhikode is another famous restaurant in Calicut.  They have a tradition in this field.  If you go there for lunch,  you will have to be in the queue. It doesn't mean you have AZ very to stand. There will be such a...More"
"21 March 2018","5","Gastronomical Delight - Hotel Paragon, Calicut","When in Kozhikode and you think of food, the one place without doubt is Hotel Paragon. Each food item is a delight. The staff are very friendly and the exciting thing is the fast and prompt services. The welcome drink is a pure delight. Please...More"
"16 March 2018","4","Good food.good service","Had lunch here. Loved the biryani. Kids had fried rice and chilli chicken and those were also very good. Only problem was the crowd and congestion."
"7 March 2018","4","Tasty food..But bit disappointed because of the below average service","I was travelling to Cochin with my family from Wyanad and we decided to stop here for lunch even after realizing that we have to drive around 14 kilometers extra. We waited almost 20 minutes for the table but it was worth because the food...More"
"5 March 2018","4","Family dinner","One of the best family restaurant in Kozhikode. Authentic and hygienic Kerala food. Courteous service. Malabar biriyani and fish specialities are recommended."
"5 March 2018","5","A must for all foodies","Paragon Restaurant is a must to all visitors to Kozhikode. Stick to the Kerala dishes on the menu and you cannot go wrong. There is always a waiting period as they do not accept reservations but believe me the food is worth the wait. Reasonably...More"
"4 March 2018","5","Calicut food trip 2018","The trip started off with a chicken biryani from paragon which was too good and the next day we had appam chicken stew and beef roast. I would suggest everyone to try breakfast also from here since it's famous for biryanis i guess all would...More"
"4 March 2018","5","Musssstt visit!!!","You did not eat in Calicut if you did not eat at Paragon! 
Two times I ate and the food was good both the times. I will strongly recommend the Mango fish curry here. Have seen people go gaga about it, but it stood true...More"
"2 March 2018","4","Must try Biriyani","As the restaurant famous for biriyani we also tried the same. Good taste and preparation. Good service. Need to wait in long q to get in. Ample car parking available. Worth to visit"
"2 March 2018","5","Must try for non-veg lovers","Went with my colleague during my business trip. Ordered chicken biryani, meen pollichathu, appam and mutton stew, ilaneer payasam. 

5 stars for the biriyani. Meats were tender and soft. Meen pollichathu and appam was also very good and tasty. Felt ilaneer payasam could have been...More"
"24 February 2018","5","Wow....","Paragon is the brand with aeeso.e Malabar dishes.We really enjoyed this place.Nice for an large get together."
"18 February 2018","2","Too noisy ","Food was good. But the place very noisy. It's also part of the customer service. The owner has to do something about the echo."
"18 February 2018","5","Loved it! ","Passed by for a dinner with my friends and we absolutely enjoyed it. Friendly service and we got the seats after some waiting the first time we came here and but got it almost spontaneously after we came this time. 
The seafood dishes are a...More"
"5 February 2018","5","Great taste that fills your mind and stomache..","One of the oldest restaurants in calicut, where you can find a variety of dishes.. we can enjoy the sea food varieties from here..."
"1 February 2018","4","Good food..........","Enjoyed lunch with family. The food is good. Ambience is fair. Fair pricing. Service was good. There is a choice of Kerala and other food, both vegetarian and non-vegetarian"
"30 January 2018","5","Must try place ","This place is famous for chicken biryani and sea food.
Very moderately priced and good ambience too.."
"30 January 2018","4","Need to experiment more","Had the authentic Paragon Biriyani. It tasted good. Would like to taste more dishes during my upcoming visits.."
"29 January 2018","2","Overhyped poor service - high dose of chilli","Quite a few recommendations made me go here with family. Service was poor. So many waiters around but the rotis arrive 10 mins after currys - not acceptable! And juices ordered along with the full course arrives at the end when the meal was almost...More"
"28 January 2018","5","The best","The best place to have biriyani at calicut.a must visit place.meals too good.have to wait to get a space . Crowded during lunch hours.but the wait is worth of the food we get."
"27 January 2018","5","What to say mote about paragaon","There was waiting time and we could.not make it for lunch and headed here for dinner..lovely staff and what an amazing service. We had a mix of vegetarians and non vegetarians. The food was exceptional. Highly recommend. The portion size is huge and always worth...More"
"24 January 2018","3","Overrated Restaurant.","I visited the Paragon Restaurant on 22.1.'18. I have visited the place several times in the past, starting from at least 20 years ago.

Popularity seems to have gone to the head of Paragon's management !  The dishes have become quite exhorbitantly priced, and that...More"
"24 January 2018","5","Excellent tasty food","Must to try the food when coming to Calicut..
Chicken, fish biriyani, appam and mango fish curry, Stew, meals with karimeen fry are excellent."
"23 January 2018","5","Always the top","Gives me surprises each time I go there,be it fish mango curry or the kanthari fish unique to this place...was delighted by the mouth watering spring chicken biryani...could visit innumerable times and will still be the best!"
"23 January 2018","5","Must visit  ","Simply amazing. It's probably the best in Calicut. We ordered crab soup, chicken steak, butter garlic prawns, karimeen polichattu, prawns mango curry with appam. Simply delicious. Quality far exceeded our expectation. Culinary trip to Kerala will be incomplete without this resturant. Excellent food (both traditional...More"
"22 January 2018","4","Paragon Restaurant","One of the best and traditional restaurant in Calicut. Good for families and entertaining visitors or business clients"
"22 January 2018","4","Must visit restaurant","As you all know, its a must visit restaurant in calicut.
Love chicken and mutton biriyani.
Kinda not like fact, that they put lot of Ajinomoto."
"22 January 2018","5","Tasty food... No words to describe .. Loved it..","Tasty food... No words to describe .. Loved it..
Tasty food... No words to describe .. Loved it..
Tasty food... No words to describe .. Loved it.."
"22 January 2018","4","Wonderful food","Great food. The ones we loved most include Fish mango curry, Thava fish fry. Spinach fry. Kabab platter is great as a starter"
"19 January 2018","5","An Excellent restaurant","We visited Paragon for the 7th time for Lunch. Paragon gives you excellent sea food prepared very tastily. It is fresh always. Prawns and mango fish curry were really top class. It is very crowded and its lobby is too small to accommodate people who...More"
"18 January 2018","5","Mouthwatering food. ","The food is simply great. The place is clean and service is prompt. Just the waiting area seems to be small compared to the popularity of the hotel."
"17 January 2018","4","Excellent Malabari cuisine","The biriyani was tastier at Topform, but other Malabari items like prawns, and several starters were extremely tasty."
"16 January 2018","5","Best hotel in calicut","Those who travel to calicut, should taste the food of paragaon without a fail.

This hotel provides a large variety of food at its best taste and rate.

Good hotel"
"15 January 2018","5","A Must for Visitors to Kozhikode","I decided to eat dinner at Hotel Paragon based on the very good reviews on Trip Advisor. 

We tried out fish biryani, whole wheat parotha and chowder. Excellent fare.

For authentic Kerala food, Hotel Paragon is the place. Especially for seafood.

The hotel was airconditioned...More"
"13 January 2018","5","Maybe the best food in Calicut?","We went to this restaurant both for lunch and dinner on our one night stay in Calicut. The place is clean, really good food, excellent selection and very friendly staff.

I came with my toddler and the waiters actually looked after him so I could...More"
"12 January 2018","5","Foodies delight","Warm hospitality, good food, everything about paragon is par excellence. Each time our visit here has been very satisfying .each time something new and so very good. The team is well trained. Keep it up team paragon ."
"8 January 2018","4","Very crowded place","No enough space. People will wait behind u to occupy the seats,making u uncomfortable. This place is simply overrated. Non veg food is equally good almost everywhere in kozhikkode.."
"3 January 2018","5","Excellent","One of the best restaurants if not the best in Calicut. Everyone visiting Calicut should definitely try once. Lots of local dishes to taste. variety of options available under veg as well as nonveg. South Indian meals for lunch is great"
"2 January 2018","5","Tasty sood","Very very very tasty food. I will give you five star on food taste.  But it take a littile bit time for receiving food order."
"2 January 2018","4","holidays","Great service. Have lot of variety. It's very clean and beautifully located next to the banks. Lavish greenery all around. Well maintained."
"31 December 2017","4","Traditional Malabar Food at its source...","We went there for dinner, at that time there is no rush. A Malabari restaurant there you can have biriyanis and other malabari dishes . Service could have been better.  One dish was old and stale (I visited very late in the night)."
"30 December 2017","5","TASTE OF MALABAR","Paragon provides delicious and smart taste of Malabar when you are at Kozhikode. Paragon was a small eating place in thie small city, Kozhikode. But the taste of Paragon has grown globally.
The taste of seafish/ chicken etc with appam is so delicious. Biriyani is...More"
"29 December 2017","5","Worth Visting for a vegetrian","This place turned out as a saviour of me as i was craving for vegetarian food , they serve good north indian food !
to my surprise the paneer was also well soft 
good ambience and service"
"28 December 2017","4","Tasty evening at Paragon","Tasted Appam / ishtu , Biriyani & special Kunjipathiri from paragon hotel on 25 th evening with family. Through serving Fresh and tasty food, paragon group proves their identity in all special preparations. 
Only  a negative impression is the space limitation. We got a seating...More"
"28 December 2017","4","Good food","Visited the restaurant after lot of recommendation from friends. They have parking facility. There is option for AC/Non AC dining. You need to wait for sometime, we waiting for about 20 mins, and before we got the table we had ordered the food. Only sad...More"
"27 December 2017","4","Place to go in focus mall","After the opening of Paragon in focus mall you needn't think of going out even for a fine dining experience..."
"26 December 2017","4","Iconic Restaurant!!!","Visited the iconic Paragon restaurant with family. The main intend was to try their famous chicken biriani. The biriani was rich with ghee & very well cooked chicken literally falling off the bone, however felt it did not live upto the hype created. Loved the...More"
"22 December 2017","4","Lovely authentic Kerala food ","Lovely food - the best we have had outside of Kerala. We arrived at 330 pm and was surprised to see the place was packed with lunch crowd still. Huge range of items on the menu but not all items are available. 
Polite waiters who...More"
"20 December 2017","5","best in kozhikode for biriyani","best place in kozhikode to have kozhikodan chicken biriyani.FISH items too tasty.always best........keep it always"
"11 December 2017","5","Iconic restaurant in Calicut","Your visit to Kozhikode is not complete without a lunch/dinner at Paragon. Celebrities to common folk - whoever knows anything about this city makes it a point to find time to go and have some of the uniquely tasty dishes they have at this iconic...More"
"10 December 2017","5","Good food","It is a nice experience with paragon ... Nice chicken biryani....  It's good to have food with family .. normally this place have a rush"
"10 December 2017","4","Amazing food","I have had Chicken Biriyani and Appam and Chicken Ishtu (stew) from this restaurant many times. Do try the Appam and Chicken Ishtu for breakfast if you are in town. The pricing of Paragon is mid-range."
"8 December 2017","5","Tasty Food","Tasty food affordable price good service parking facilities available parcel takes delay at peak hours"
"30 November 2017","5","Proud of kozhikode","One of the prominent restaurant in kozhikode.which have a nice menu.Good staff and good food. Ample parking  space .Rush place to get seat"
"22 November 2017","4","Little confusing response from waiter, otherwise good.","Pros:
+Good food
+Reasonable price
+Good ambiance
+Wide variety available in menu

Cons:
-Even though Fish/Prawn/mutton biryani was available, I was told they cannot serve half plate, even though it was available in the menu. In the end, I had to settle for chicken biryani,...More"
"21 November 2017","4","Best seafood around","Family restaurant although lighting could be improved. Very noisy but good seafood, I found to be on the oily side. Lovely laccha paratha."
"21 November 2017","4","Paragon @ Calicut ","When in Calicut and in the mood for Biryani & fish items & appam look no further, paragon restaurant is the place to be! The place is generally crowded especially at lunch time. So suggest to reach there early. Parking facility is available with pick-up...More"
"16 November 2017","5","One of the best Restaurants!!!!","Paragon is one of the best restaurants in Calicut. You can get delicious ‘kozhikodan’ (foods of Calicut) from here."
"9 November 2017","4","Very good food;","Very good food; Only negative is you have to wait a bit to get your ordered items in peak hours....."
"7 November 2017","5","The yemi yemi star of calicut","While. I siting Calicut, enjoy the taste of Calicuts food varieties with a visit to Paragon. You can enjoy the variety of dishes start from sea foods with appams, enjoy the taste to stews and chaps from here. A must visit while you are in...More"
"5 November 2017","5","An old favorite","Paragon was one among the earlier non veg restaurants in Kozhikode. The orginal restaurant which started decades back near Mananchira, in the heart of Kozhikode, has today expanded into a modern restaurant. The tastes of dishes in Paragon remain scrumptious as it was in the...More"
"3 November 2017","5","Brand Name in Biriyanis! Excellent food and service","Paragon has been a brand name of Biriyanis. There was very big expectation, and they didn't disappoint either."
"30 October 2017","5","Biriyani..... itz yummy...","The best food in Calicut town... i will never miss food from Paragon when i am in Calicut town.. quick service and quality food.."
"17 October 2017","5","Great place for dinner","We came here with our driver (and friend) Sherin on his recommendation.  We were glad we did, the food was delicious, with plenty of choice - good value 2."
"16 October 2017","4","Paradise in Hyderabad ; Paragon in Kozhikode","Mutton Biriyani at its best in Kozhikode means Paragon. Like Paradise restaurant in Hyderabad. Paragon restaurant at Kannur road gives original Malabar food. We also tasted Hyderabadi Biriyani, Prawns Biriyani and Meals with Fish Curry. Fish, Chicken and Beef fry are all in local Kozhikodan...More"
"15 October 2017","1","Salty biriyani","Salty biriyani that i have ever eaten. And i didn't felt the service was good either. And i felt like they didn't give any value for my word when i told them the food was salty."
"11 October 2017","5","Everybody's favourite","The food was good, the restaurant itself is a bit dated, and could do with a makeover, but I guess people like the old look. The food was delicious, the welcome drink was nice, the coffee was to die for. Had beef curry after a...More"
"10 October 2017","4","The best restaurant in Kozhikode","I had witnessed from the logo of the hotel is started in 1939 . 78 years old..We were very curious to visit the restaurant.There were many guests waiting in the hall to take their table and we too registered our names and waited 30 minutes....More"
"9 October 2017","3","Breakfast on 5 Oct 17","Was disappointed at the general upkeep of the place. Cleanliness left a lot to be desired.
The food was not bad but could have been served with more class."
"4 October 2017","5","Food very tasty","i went to have a lunch in hotel parogon there we need to wait more than 1 hour in resturant . i was thinking about to all are waiting for food. why they are not going to another. i had asked someone about the taste....More"
"3 October 2017","5","tastiest beef biryani... yummy","with my friend visited Paragon Restaurant and ordered an awesome BEEF BIRIYANI, APPAM WITH MOLI FISH CURRY AND LAST WITH A LEMON TEA... The food, place, staff and service fabulous."
"3 October 2017","5","Best hotel in calicut","I said best because in regards to taste and quality of food and also the service. Its also good. There is ample space for parking too. One should try salads and fish items."
"1 October 2017","5","Gatronomic delight ....","The restaurant has been in the in my list ever since I visited Calicut the first time in 2004. The place has expanded, become cleaner, brighter, a bit more expensive... but still hold on to the fantastic food.

Banana leaf fish, mutton and chicken... all...More"
"1 October 2017","5","Continues to Delight","This place continues to delight, i have been visiting this place for quite a few years, and they have maintained their level quite well. The mango fish curry, biryani, fish dishes - all are simply out of the world and must have when you are...More"
"29 September 2017","5","Nice Time with Paragon","it was the nice time with Paragon along my friends. tasty food, good serving,and also we got a good parking area"
"26 September 2017","5","Consistent performer","A meal or two in Paragon is a must when visiting Kozhikode. In fact there were many visits just to have a meal there. In Kozhikode, you cannot find a better place to eat. It is the epitome of any food pilgrim in the South."
"25 September 2017","4","Good service","It is one of the most trusted restaurant in Kozhikode city.The food offered by them is good and their service.The appam and veg kuruma of Paragon is very good.I liked this restaurant very much."
"25 September 2017","4","Nice malabar cuisine","Had breakfast and lunch here. Malabar parotta, appam and kadala curry for break fast. Though I hate coconut oil in dishes, this was an exception. Loved the soft feeling of appam dipped against tasty kadala curry and gulping it down. Parotta was good as well....More"
"24 September 2017","4","Good service but has the food quality stepped down","Had breakfast on one day and lunch another day. Visited them after 3 years.
Service was good including efforts to quickly seat us and serve us.
But somewhere I feel their quality of taste has come one or two notches down.
We had appam and...More"
"23 September 2017","5","Superb","Had Biryani it tasted great.  Must tryouts. Its a clean place and crowded must say.  If u get a place do try there biryani"
"20 September 2017","5","Best food in Kerala","I visit Paragon once in a month with my family. Highly recommended for the best food across all District in Kerala. The hygiene, service, taste all are exceptional here. Even if you need to wait in the queue for sometime, it's worth as the variety...More"
"16 September 2017","4","Tasty food","Again landed there because paragon was the famous place in calicut to eat.

Famous for its chicken biryani- interesting because the rice is small and it is different from the Lucknowi biryani. Very tasty.

We ordered a prawn dish- forget the name now. This blended...More"
"16 September 2017","4","Tasty Food with Confused staff..","Had lunch at paragon,We had a chicken biriyani which  was good and taste . but service need to be improve most of staff were confused in their service."
"15 September 2017","5","I could eat at Paragon everyday!","Out of the 5 days I was in town, I ate there 4 times! The nadan chicken was my favorite, and a MUST try! The Thai grilled prawns were amazing, the Fish pollichathu was beautiful, the mango curry delicious, and I could eat their paratha...More"
"15 September 2017","4","Tasty Calicut","Paragon,one of the best restaurant in Calicut. Tasty food, good service,cleanliness are are the best qualities."
"13 September 2017","5","Dinner at paragon ","It was really good... I was traveling from kazargode to cochin and the only place I prefer in between is paragon. The taste quality and most Importantly the cleanliness paragon stands out.. I this time had appam , puttu, soups and fish mango curry... really...More"
"10 September 2017","5","Authentic Indian Cuisine","Whether Take Away, AC or Non AC rooms, the food is exceptional quality.  I took away butter chicken, rice and parota"
"9 September 2017","4","Waiting period- you need to do something for it.","Food, there isn't any second thoughts on it. As a restaurant started in 1939, and is still in business is a definite testimony for the food that's served. But try creating some mechanism for increasing capacity. 
👍"
"8 September 2017","5","Flavour Of Kozhikode","No visit to Calicut is complete without a taste of Paragon Biriyani. You may need to reserve a table unless willing to wait. Since its a high turnover joint will get a table rather faster than expected. The staffs are courteous and efficient. Before you...More"
"6 September 2017","5","Re - Paragon Calicut","Ambiance is good and staff is courteous same as Edapally. Here in Calicut also they have a diverse menu with lot of food options. Food was good and taste was nice as well. Perhaps they can work on making North Indian food better however their...More"
"6 September 2017","5","Superb quality food","My target was to have a great lunch ""non-veg biryani"" and veg fried rice. Though it was difficult to get to the location due to onam festival, finally reached the area and had to wait for 20 min due to rush. It was a superb...More"
"6 September 2017","3","Good non veg restaurant","This is a very famous and old and we'll established hotel for eating outside. Special non veg dishes including sea food and biriyani, a recipe made from special rice is served. There is very big crowd and One has to wait hours to get the...More"
"6 September 2017","5","Lovely food","Very interesting unique food.it is really good in taste serving and very high gene environment..
I loved it.."
"6 September 2017","5","Home away from Home","One can feel that you have reached the right place with the smell of frying and masalas as you reach the hotel sorroundings.  The appams and Biriyani with fish mango curry, stew etc are excellent. I feel proud that we have such a hotel in...More"
